step,energy,std,acceptance_rate,step_size,cm_mean,cm_std
0,5.183498859405518,1.5902507305145264,0.9115599989891052,0.5205780267715454,-0.4505160450935364,1.8333041667938232
1,5.0723795890808105,1.4617358446121216,0.9198099970817566,0.542432427406311,-0.2978099584579468,1.739719033241272
2,4.8735270500183105,1.2992703914642334,0.8981999754905701,0.5640320777893066,-0.17301952838897705,1.615930438041687
3,4.764943599700928,1.1949373483657837,0.8550900220870972,0.5840603113174438,-0.03758113831281662,1.512811303138733
4,4.729027271270752,1.1696887016296387,0.8121200203895569,0.6022899746894836,0.04061751067638397,1.4232068061828613
5,4.729678153991699,1.1680160760879517,0.7750599980354309,0.6188565492630005,0.005634440574795008,1.3213329315185547
6,4.770259380340576,1.171836495399475,0.7467799782752991,0.6341286897659302,0.02954498678445816,1.2624889612197876
7,4.753020763397217,1.1689623594284058,0.7218500375747681,0.648196816444397,0.050782158970832825,1.2158037424087524
8,4.725423336029053,1.1353174448013306,0.7050599455833435,0.6614887714385986,0.034421227872371674,1.1683486700057983
9,4.717711448669434,1.1283140182495117,0.6962900161743164,0.6744731068611145,-0.028568197041749954,1.1761842966079712
10,4.672080039978027,1.0911369323730469,0.6829599738121033,0.6868132948875427,-0.04825800657272339,1.1043603420257568
11,4.637040615081787,1.0641003847122192,0.6765400171279907,0.698938250541687,-0.017329096794128418,1.1579437255859375
12,4.6198625564575195,1.0326515436172485,0.6701500415802002,0.7108306884765625,-0.060910664498806,1.1977263689041138
13,4.549496173858643,0.9846123456954956,0.6636899709701538,0.7224662899971008,-0.06583163142204285,1.1942791938781738
14,4.543291091918945,0.9541705250740051,0.6571599245071411,0.7338205575942993,-0.1103794202208519,1.1976960897445679
15,4.525088310241699,0.920119047164917,0.647849977016449,0.7446701526641846,-0.07248203456401825,1.180086374282837
16,4.493869781494141,0.8847402930259705,0.6402400135993958,0.755113422870636,-0.04770972579717636,1.1900177001953125
17,4.480102062225342,0.869570255279541,0.6372600197792053,0.7654781341552734,-0.06438235938549042,1.249394178390503
18,4.489164352416992,0.8535798192024231,0.6275100111961365,0.7752387523651123,-0.03654252365231514,1.2208797931671143
19,4.4877848625183105,0.8515165448188782,0.6170299649238586,0.7843113541603088,-0.03058432601392269,1.227870225906372
20,4.47462797164917,0.8303830027580261,0.6098499894142151,0.7929270267486572,-0.09517932683229446,1.2719613313674927
21,4.461236953735352,0.8177045583724976,0.5999399423599243,0.800851583480835,-0.10939092189073563,1.1802964210510254
22,4.457522392272949,0.8056167960166931,0.592710018157959,0.8082762956619263,-0.07225306332111359,1.2023698091506958
23,4.4518022537231445,0.7899259924888611,0.5846400260925293,0.8151175379753113,-0.06514889001846313,1.2140228748321533
24,4.437021732330322,0.7818830609321594,0.576229989528656,0.8213311433792114,-0.06713574379682541,1.1866283416748047
25,4.413328170776367,0.766595184803009,0.5718399882316589,0.8272315859794617,-0.11082001775503159,1.1336915493011475
26,4.403578758239746,0.7540658116340637,0.5659000277519226,0.8326830267906189,-0.04532714560627937,1.1013855934143066
27,4.406252861022949,0.7429736256599426,0.552590012550354,0.8370621204376221,-0.12427005916833878,1.1007723808288574
28,4.3928141593933105,0.7335507869720459,0.5496100187301636,0.8412147760391235,-0.017784608528017998,1.137609839439392
29,4.3853325843811035,0.7248661518096924,0.5448399782180786,0.8449867367744446,-0.05905434861779213,1.0458166599273682
30,4.38338041305542,0.7200383543968201,0.542739987373352,0.8485982418060303,-0.06990077346563339,1.0561491250991821
31,4.367185592651367,0.702915370464325,0.5337300300598145,0.8514605760574341,-0.04024054855108261,1.0377087593078613
32,4.379692554473877,0.707543671131134,0.5310999751091003,0.8541086912155151,-0.012391140684485435,1.0369666814804077
33,4.36306619644165,0.7030724287033081,0.5240600109100342,0.8561636805534363,0.00734392274171114,1.085731029510498
34,4.369592189788818,0.7002400755882263,0.5263500213623047,0.85841965675354,0.025211788713932037,1.0146695375442505
35,4.371496200561523,0.6982207298278809,0.5240300297737122,0.8604824542999268,0.035726726055145264,1.075381875038147
36,4.357841968536377,0.6793377995491028,0.5229899883270264,0.8624606728553772,-0.01936495490372181,1.105777621269226
37,4.350488185882568,0.6762021780014038,0.5247200131416321,0.8645927309989929,0.050645556300878525,1.0323477983474731
38,4.351836204528809,0.686640739440918,0.5233800411224365,0.8666142225265503,0.014467180706560612,1.0695720911026
39,4.3320631980896,0.6605932712554932,0.52156001329422,0.8684826493263245,0.020183930173516273,1.0456509590148926
40,4.3492326736450195,0.6780339479446411,0.5215399861335754,0.8703533411026001,0.00917432177811861,1.1078078746795654
41,4.329672336578369,0.6664249300956726,0.5233399868011475,0.8723847270011902,0.018343878909945488,1.1356121301651
42,4.338001251220703,0.6581972241401672,0.5232400298118591,0.8744121193885803,0.026152923703193665,1.1282087564468384
43,4.324135780334473,0.6606630682945251,0.5259699821472168,0.8766829371452332,-0.05246836692094803,1.173616647720337
44,4.3209757804870605,0.6505611538887024,0.529770016670227,0.8792928457260132,-0.02056611329317093,1.1416893005371094
45,4.324787139892578,0.6515551209449768,0.5303599834442139,0.8819624185562134,-0.01376525592058897,1.1621237993240356
46,4.322170734405518,0.6605834364891052,0.531309962272644,0.8847238421440125,-0.05448238551616669,1.2256126403808594
47,4.31719970703125,0.6435779929161072,0.5285899639129639,0.8872532844543457,0.025617681443691254,1.2460356950759888
48,4.317938804626465,0.6551190614700317,0.5339400172233582,0.890264630317688,-0.009612235240638256,1.2217628955841064
49,4.313345909118652,0.6439403295516968,0.5342999696731567,0.893318235874176,-0.03610151261091232,1.2368416786193848
50,4.3155083656311035,0.6582291722297668,0.5339699983596802,0.8963528275489807,-0.05556604266166687,1.234900712966919
51,4.309137344360352,0.6491310000419617,0.5363199710845947,0.899608314037323,0.02360467240214348,1.2470332384109497
52,4.310165882110596,0.649558424949646,0.5331599712371826,0.9025914669036865,-0.01660834066569805,1.2521170377731323
53,4.310348987579346,0.6477407217025757,0.532829999923706,0.9055547118186951,-0.04743381589651108,1.2647625207901
54,4.304302215576172,0.6496549248695374,0.5362800359725952,0.9088400602340698,0.06559440493583679,1.3176556825637817
55,4.307958126068115,0.6460645794868469,0.5338299870491028,0.9119147062301636,0.0006253357278183103,1.32776939868927
56,4.297061443328857,0.6456054449081421,0.532990038394928,0.9149231314659119,-0.05479385703802109,1.318115234375
57,4.300332069396973,0.6478532552719116,0.5311300158500671,0.9177713394165039,0.017371701076626778,1.3251545429229736
58,4.297718524932861,0.6461217403411865,0.5323300361633301,0.9207384586334229,0.0009499349980615079,1.3028690814971924
59,4.302994251251221,0.6495301723480225,0.5293800234794617,0.923443615436554,-0.034534428268671036,1.261857271194458
60,4.2906813621521,0.631808340549469,0.525909960269928,0.9258362650871277,-0.02247132919728756,1.3195500373840332
61,4.29724645614624,0.646803081035614,0.5266600251197815,0.9283045530319214,-0.028289124369621277,1.3065534830093384
62,4.296378135681152,0.6361573934555054,0.5277400016784668,0.9308796525001526,0.05239640921354294,1.3333442211151123
63,4.307572364807129,0.6533157229423523,0.5256999731063843,0.9332720637321472,0.04745228588581085,1.2770916223526
64,4.290555953979492,0.63978511095047,0.5247800350189209,0.9355847239494324,0.022121567279100418,1.376281499862671
65,4.298580646514893,0.6413635015487671,0.525629997253418,0.9379826188087463,-0.029232170432806015,1.2942805290222168
66,4.294614791870117,0.6318690776824951,0.5181100368499756,0.939681351184845,-0.0327175110578537,1.3099201917648315
