step,energy,std,acceptance_rate,step_size,cm_mean,cm_std
0,4.871436595916748,1.3549025058746338,0.8909099698066711,0.5195454955101013,-0.9525391459465027,1.6024974584579468
1,4.846884250640869,1.3336002826690674,0.8957799673080444,0.5401080250740051,-0.2094113528728485,1.7392252683639526
2,4.825338363647461,1.3075263500213623,0.8692400455474854,0.5600509643554688,-0.10160037875175476,1.7136952877044678
3,4.7906599044799805,1.312617301940918,0.8384799957275391,0.579007625579834,-0.3433381915092468,1.6712636947631836
4,4.7188286781311035,1.2338767051696777,0.8083199858665466,0.5968596339225769,-0.5602736473083496,1.6130261421203613
5,4.652760982513428,1.2020854949951172,0.7830599546432495,0.6137543320655823,-0.835378110408783,1.5139762163162231
6,4.6214919090271,1.1746630668640137,0.7544300556182861,0.6293700337409973,-0.9786028265953064,1.442426085472107
7,4.556709289550781,1.137498140335083,0.7334499955177307,0.6440626978874207,-1.0783421993255615,1.3492703437805176
8,4.55133056640625,1.1640050411224365,0.7197500467300415,0.6582159996032715,-1.2083007097244263,1.3426672220230103
9,4.504273891448975,1.1316704750061035,0.7086400389671326,0.671949028968811,-1.3252589702606201,1.282590627670288
10,4.470643043518066,1.1334812641143799,0.6941900253295898,0.68499755859375,-1.4286357164382935,1.2455803155899048
11,4.41896390914917,1.105502724647522,0.6853600144386292,0.6976946592330933,-1.4440796375274658,1.2906529903411865
12,4.379508018493652,1.123982548713684,0.6754099726676941,0.7099329829216003,-1.5219193696975708,1.172081470489502
13,4.3394317626953125,1.1345200538635254,0.6681100130081177,0.7218676805496216,-1.5604465007781982,1.2006198167800903
14,4.333827018737793,1.1481326818466187,0.6577000021934509,0.7332515120506287,-1.6967277526855469,1.213494062423706
15,4.291577339172363,1.1328784227371216,0.6459000110626221,0.7439496517181396,-1.718740463256836,1.134821891784668
16,4.2756171226501465,1.1541728973388672,0.6390199661254883,0.7542920112609863,-1.725954532623291,1.1631649732589722
