Number of Chains,Time (seconds)
1,0.16194851696491241
101,0.16193507611751556
201,0.16100959479808807
301,0.16321402788162231
401,0.166341632604599
501,0.1682756394147873
601,0.1687653809785843
701,0.1621536761522293
801,0.1635461151599884
901,0.16468048095703125
1001,0.1693025678396225
1101,0.16940943896770477
1201,0.17155449092388153
1301,0.17284630239009857
