Number of Chains,Time (seconds)
1,0.004756045000249287
101,0.0007661989993721363
201,0.000720032000572246
301,0.002820764999341918
401,0.0007221770001706318
501,0.014507011000205239
601,0.37918923999950493
701,0.42763678600022104
801,0.5893095339997672
901,0.7680743490000168
1001,0.8340227589997085
1101,0.8297234419997039
1201,0.91783003799992
1301,0.8971841709999353
