Number of Chains,Time (seconds)
1,0.16677622497081757
101,0.16455847024917603
201,0.16716238856315613
301,0.16377173364162445
401,0.16598305106163025
501,0.167345330119133
601,0.16678638756275177
701,0.16721688210964203
801,0.16876320540905
901,0.1692771315574646
1001,0.17242734134197235
1101,0.17010773718357086
1201,0.16749322414398193
1301,0.170308455824852
