Number of Chains,Time (seconds)
1,0.5877860509999664
101,0.49803890400016826
201,0.5215590039997551
301,0.5716960409999956
401,0.5228756970000177
501,0.5319082409996554
601,0.5514462300006926
701,0.5361341859997992
801,0.5435880160002853
901,0.5436966520001079
1001,0.5387414429997079
1101,0.5534270910002306
1201,0.544362247999743
1301,0.5330586939999193
