step,energy,std,acceptance_rate,step_size,cm_mean,cm_std
0,4.464748859405518,7.822840213775635,0.9745999574661255,0.5,-0.10975364595651627,3.9530136585235596
1,4.5812602043151855,7.565683364868164,0.9791999459266663,0.5,-0.6682224869728088,3.6600852012634277
2,3.1437361240386963,4.428988456726074,0.9727999567985535,0.5,0.3004516065120697,3.2059335708618164
3,4.106379985809326,6.603777885437012,0.9759999513626099,0.5,0.5579543709754944,3.508866310119629
4,4.181691646575928,5.503828525543213,0.973800003528595,0.5,0.5021800994873047,3.521010398864746
