step,energy,std,acceptance_rate,step_size,cm_mean,cm_std
0,49.33978271484375,17.41053009033203,0.9706499576568604,0.31411951780319214,-0.011653583496809006,1.488639235496521
1,49.53779220581055,17.43041229248047,0.9548800587654114,0.3284081816673279,0.03399908170104027,1.5113916397094727
2,49.41606903076172,17.416242599487305,0.931494951248169,0.34257882833480835,0.04989934712648392,1.5460896492004395
3,49.42813491821289,17.428590774536133,0.9284299612045288,0.3572559356689453,0.0523349829018116,1.6008455753326416
4,49.47738265991211,17.412717819213867,0.9291000366210938,0.3725857734680176,0.09883183985948563,1.7183172702789307
5,49.35277557373047,17.286226272583008,0.9261800050735474,0.38846465945243835,-0.02813258022069931,1.777377963066101
6,49.3018798828125,17.34421730041504,0.9200249910354614,0.40478113293647766,0.08950389176607132,1.9160549640655518
7,49.476776123046875,17.344970703125,0.9069600105285645,0.42125412821769714,0.03186792507767677,1.9501850605010986
8,49.338809967041016,17.368820190429688,0.8952800035476685,0.4379054605960846,-0.007890060544013977,1.9631648063659668
9,49.255760192871094,17.284822463989258,0.8781650066375732,0.45446550846099854,0.09029623121023178,2.018653392791748
10,49.26499938964844,17.223485946655273,0.856380045413971,0.4706617295742035,0.08372218906879425,2.0256969928741455
11,49.197025299072266,17.166942596435547,0.832069993019104,0.48629096150398254,0.04789949208498001,2.071303129196167
12,49.057090759277344,17.146831512451172,0.8070050477981567,0.5012202858924866,0.03905289247632027,2.012157917022705
13,49.027645111083984,17.076454162597656,0.7860749959945679,0.5155589580535889,0.09534261375665665,2.0420215129852295
14,48.972354888916016,16.968481063842773,0.7645900249481201,0.5292001366615295,0.03168896213173866,2.125117301940918
15,48.84049987792969,16.900468826293945,0.7420549392700195,0.5420096516609192,0.09053449332714081,2.1054534912109375
16,48.69057846069336,16.85398292541504,0.7189000844955444,0.5538742542266846,0.15754950046539307,2.1255743503570557
17,48.682579040527344,16.745019912719727,0.6984100341796875,0.5648636221885681,0.12234092503786087,2.149425745010376
18,48.51736831665039,16.653091430664062,0.6726799607276917,0.5746176838874817,0.15044358372688293,2.129931926727295
19,48.30653381347656,16.473920822143555,0.6479100584983826,0.583116888999939,0.19316723942756653,2.099454164505005
20,48.28276062011719,16.349210739135742,0.623824954032898,0.590337336063385,0.026208912953734398,2.0715434551239014
21,47.98474884033203,16.199153900146484,0.592400074005127,0.5957920551300049,0.1792338639497757,1.9578224420547485
22,47.89059829711914,16.07475471496582,0.5673200488090515,0.5998029112815857,0.08756503462791443,1.9394656419754028
23,47.51811218261719,15.867701530456543,0.5404300093650818,0.6022279262542725,0.1481172889471054,1.880837321281433
24,47.28666305541992,15.627267837524414,0.5166300535202026,0.6032294034957886,0.16378340125083923,1.8755652904510498
25,47.309288024902344,15.474770545959473,0.49333998560905457,0.6028276681900024,0.20007076859474182,1.7645890712738037
26,46.88268280029297,15.271344184875488,0.47119003534317017,0.6010909080505371,0.2084447741508484,1.6886295080184937
27,46.86869812011719,15.060630798339844,0.44191500544548035,0.5975995063781738,0.16811443865299225,1.655275583267212
28,46.358543395996094,14.788451194763184,0.42135000228881836,0.5928993821144104,0.2532840967178345,1.5687459707260132
29,46.19122314453125,14.56605052947998,0.3985249996185303,0.5868829488754272,0.2003343254327774,1.4510577917099
30,46.087337493896484,14.433387756347656,0.38236501812934875,0.5799791216850281,0.18943403661251068,1.4795278310775757
31,45.5647087097168,14.26309871673584,0.3595449924468994,0.5718330144882202,0.2192670702934265,1.3576891422271729
32,45.54799270629883,14.011642456054688,0.34243500232696533,0.5628229379653931,0.2318236231803894,1.2556804418563843
33,45.075679779052734,13.891935348510742,0.32212501764297485,0.5528117418289185,0.17082428932189941,1.2124279737472534
34,44.88414764404297,13.717191696166992,0.3066149950027466,0.542121171951294,0.24257703125476837,1.1281747817993164
35,44.822303771972656,13.570062637329102,0.2930299937725067,0.5309008955955505,0.2531593441963196,1.0416529178619385
36,44.264251708984375,13.400172233581543,0.2784099876880646,0.5191366672515869,0.24751906096935272,0.9687005281448364
37,44.315704345703125,13.415730476379395,0.2712550163269043,0.5072616934776306,0.26115667819976807,0.8952568769454956
38,44.03567886352539,13.193934440612793,0.263355016708374,0.4952576160430908,0.28335681557655334,0.8668744564056396
39,43.74990463256836,12.907275199890137,0.25100502371788025,0.4829259514808655,0.26121076941490173,0.7781183123588562
40,43.440399169921875,12.719878196716309,0.2470950037240982,0.4707125127315521,0.2720729112625122,0.7646541595458984
41,43.19791030883789,12.414149284362793,0.24023501574993134,0.45848506689071655,0.2976771593093872,0.705376386642456
42,42.7894287109375,12.242212295532227,0.2384600192308426,0.44649386405944824,0.2595643997192383,0.6923715472221375
43,42.471656799316406,11.920369148254395,0.23226001858711243,0.43453943729400635,0.2781239151954651,0.6431340575218201
44,42.112159729003906,11.444107055664062,0.2299950122833252,0.42280665040016174,0.29971468448638916,0.5816149115562439
45,41.81597137451172,11.046557426452637,0.22969001531600952,0.41137775778770447,0.3304791748523712,0.5612335205078125
46,41.3890266418457,10.572575569152832,0.22406500577926636,0.4000264108181,0.32795488834381104,0.5230243802070618
47,41.24436569213867,10.130048751831055,0.2266400158405304,0.38909128308296204,0.31654730439186096,0.5101171731948853
48,40.88615798950195,9.739522933959961,0.2271900177001953,0.37847650051116943,0.3283563256263733,0.48588037490844727
49,40.443519592285156,9.15459156036377,0.2261650264263153,0.3681124746799469,0.3374525308609009,0.46452343463897705
50,40.225563049316406,8.659707069396973,0.22782002389431,0.3580932021141052,0.3381108045578003,0.4540151059627533
51,39.99466323852539,8.202932357788086,0.22938501834869385,0.34840264916419983,0.3659147024154663,0.4144788980484009
52,39.79206848144531,7.719004154205322,0.2275100201368332,0.3389090299606323,0.34881696105003357,0.4055056571960449
53,39.47801971435547,7.18361759185791,0.23178501427173615,0.329818993806839,0.36305904388427734,0.3948609530925751
54,39.299800872802734,6.9716877937316895,0.23494501411914825,0.32107698917388916,0.3669911324977875,0.38836485147476196
55,39.17997360229492,6.733562469482422,0.23475001752376556,0.31256040930747986,0.3472757935523987,0.39461609721183777
56,39.0823860168457,6.732676982879639,0.24061499536037445,0.304453045129776,0.35203322768211365,0.38873016834259033
57,39.08189392089844,6.504001617431641,0.241100013256073,0.296570748090744,0.3743371367454529,0.360624223947525
